@relation bolasso

@attribute r1 numeric
@attribute r2 numeric
@attribute r3 numeric
@attribute r4 numeric
@attribute r5 numeric
@attribute r6 numeric
@attribute r7 numeric
@attribute r8 numeric
@attribute nr9 numeric
@attribute nr10 numeric
@attribute nr11 numeric
@attribute nr12 numeric
@attribute nr13 numeric
@attribute nr14 numeric
@attribute nr15 numeric
@attribute nr16 numeric
@attribute target numeric

@data
1.733435,-0.658327,2.077575,1.406667,-0.121748,0.670722,-0.966286,-0.269829,-0.161226,-1.381012,-0.606295,-1.399107,-0.319617,0.219085,-0.670761,-0.095106,0.90002
0.69049,0.731672,0.918497,-1.127286,-0.818911,-1.117869,-0.615631,-1.077144,2.259529,0.929645,1.706437,-0.548185,-1.233196,-0.531123,-0.042324,1.535093,-0.244211
1.671687,-1.764569,0.670487,0.337585,-0.993702,-0.051012,-0.455312,-0.524229,1.236951,-0.636155,-1.087506,0.383146,0.167739,-1.856565,-0.790591,1.603802,1.114876
1.11679,0.07261,0.976685,0.500509,-0.964616,1.541146,-1.210946,-0.601275,-0.272631,-0.255278,-0.446638,-0.688968,0.247224,-1.699231,1.034101,-0.865324,0.952041
0.310496,0.018654,-0.612543,-0.373506,-0.158848,-0.796345,0.393594,0.299809,-0.20102,0.112619,-0.049875,-0.59714,-0.902204,0.6472,-1.194114,1.673483,0.233003
-1.19181,0.297762,0.736172,0.114137,-0.278489,0.26717,-0.669611,-0.473407,-0.419625,0.836643,-0.650054,-0.291358,-1.980604,1.012154,-0.323718,-0.834674,-0.762445
-0.032121,0.760329,0.618331,-0.897527,-1.084495,-0.470048,-0.267876,-2.094155,-1.062599,-0.798632,1.16116,-1.363589,1.061858,-0.757482,0.887198,-0.118577,-0.228709
-0.00267,-0.023678,1.032914,-0.948055,1.151723,1.502702,-1.622223,0.8269,-0.31788,1.137541,0.228405,-1.324781,-0.079983,-0.790593,0.53458,0.609536,-0.174036
-1.671999,0.286395,0.300422,2.116604,-0.047933,0.72445,-1.517702,0.120536,0.885696,-0.479527,0.707616,-0.144521,0.104757,2.633415,1.181699,-0.348153,-0.537264
-1.430431,0.402178,-1.153881,-0.648656,0.925304,0.296687,0.731965,0.519845,0.360877,0.041493,-0.10331,0.104461,0.85532,0.321748,-0.451577,-0.081338,-0.768039
-0.244963,0.260518,0.103259,-0.663812,-0.2708,0.524828,0.755937,0.220413,-0.522389,0.774688,-1.516619,-0.585467,-1.125962,-0.287255,-0.969523,-0.993598,-0.25846
-0.031052,-0.111487,0.773832,-1.48912,-1.52191,-1.397688,-0.210531,-0.534726,0.915429,1.286792,0.167971,-0.611025,-0.822852,-0.336904,-1.337457,1.555713,-0.578118
-1.323068,-0.363522,-0.378235,-0.421513,-0.534385,-0.080523,-0.538293,-0.864904,-0.716601,0.437337,0.848592,-0.745961,-0.298782,0.677792,0.608852,0.502441,-0.551881
0.199194,-1.612262,-0.456066,-0.696368,0.114905,-0.907322,-0.428004,-0.397844,0.406118,-0.230713,-0.069417,0.921485,2.017183,-0.827056,1.60983,-0.930722,0.224893
